Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 7, estrofe 40, verso 4;"Dhum, que primeiro pos nome aa ciencia;";Dhum, que primeiro pos nome aa ciencia:
Canto 7, estrofe 41, verso 2;Pera os da geração de seus maridos:;Pera os da geraçam de seus maridos:
Canto 7, estrofe 41, verso 7;Aterra he grossa em trato, em tudo aquilo;A terra he grossa em trato, em tudo aquillo
Canto 7, estrofe 41, verso 8;Que as ondas podem dar da China ao Nilo.;Que as ondas podem da da China ao Nilo.
Canto 7, estrofe 42, verso 2;Andava a fama ja pela cidade,;Andaua a fama ja pela cidade,
Canto 7, estrofe 42, verso 4;O Rei saber mandava da verdade,;O Rei saber mandaua da verdade,
Canto 7, estrofe 42, verso 5;la vinham pelas ruas caminhando,;Ia vinham pelas ruas caminhando,
Canto 7, estrofe 42, verso 7;Os principaes que o Rei buscar mandâra,;Os principaes que o Rei buscar mandàra,
Canto 7, estrofe 42, verso 8;O Capitão da armada que chegâra.;O Capitam da armada que chegàra.
Canto 7, estrofe 43, verso 3;Dos nobres Portugueses sem detença;Dos nobres Portugueses sem detenço
Canto 7, estrofe 43, verso 7;O rema compassado fere frio;O remo compassado fere frio
Canto 7, estrofe 44, verso 3;Rodeado de Naires, que esperava;Rodeado de Naires, que esperaua
Canto 7, estrofe 44, verso 5;la na terra nos braços o leuaua.;la na terra nos braços o leuaua,
Canto 7, estrofe 45, verso 2;Caminhão la pera onde o Rei o espera:;Caminhão la pera onde o Rei espera:
Canto 7, estrofe 45, verso 4;Que infantaria segne esquadra fera:;Que infantaria segue esquadra fera:
Canto 7, estrofe 45, verso 6;De ver a gente estranha, & bem quisera;Do ver a gente estranha, & bem quisera
Canto 7, estrofe 46, verso 4;As palavras que de ambos entendia:;As palauras que de ambos entendia:
Canto 7, estrofe 46, verso 6;Onde hũa rica fabrica se erguia;Onde hũa rua fabrica se erguia
Canto 7, estrofe 46, verso 7;De hum sumptuoso templo ja chegauão,;De hum sumptuoso templo ja chegauão
Canto 7, estrofe 47, verso 3;Varios degestos, varios de pinturas,;Varios de gestos, varios de pinturas,
Canto 7, estrofe 47, verso 4;A segundo o Demonio lhe fingia.;A segundo o Demonio lhe fingia:
Canto 7, estrofe 47, verso 5;Vem se as abominaveis esculturas,;Vem se as abominaueis esculturas,
Canto 7, estrofe 47, verso 6;Qual a Chimêra em membros se varia,;Qual a Chiméra em membros se varia,
Canto 7, estrofe 47, verso 8;Em forma humana estam marauilhados,;Em forma humana estam marauilhados.
Canto 7, estrofe 48, verso 1;Hum na cabeça cornos esculpidos,;Hum na cabeça comos esculpidos,
Canto 7, estrofe 48, verso 6;A Briareo pareçe que imitaua:;A Briarea pareçe que imitaua:
Canto 7, estrofe 48, verso 8;Qual Anubis Menfítico se adora.;Qual Anubis Menfitico se adora.
Canto 7, estrofe 49, verso 2;A supersticiosa adoração,;A supersticiosa adoraçam,
Canto 7, estrofe 49, verso 5;Engrossando se vay da gente o fio,;Engrossandose vai da gente o fio,
Canto 7, estrofe 49, verso 6;Cos que vem ver o estranho Capitão,;Cos que vem ver o estranho Capitam,
Canto 7, estrofe 49, verso 7;Estão pelos telhados & janellas;Estam pelos telhados & janellas
Canto 7, estrofe 49, verso 8;Velhos & moços, donas & donzellas:;Velhos e moços, donas & donzellas.
Canto 7, estrofe 50, verso 2;Dos jardins odoriferos fermosos,;Dos jardius odoriferos fermosos,
Canto 7, estrofe 50, verso 7;Assi vivem os Reis daquella gente,;Assi viuem os Reis daquella gente,
Canto 7, estrofe 50, verso 8;No campo & na cidade juntamente;No campo & na cidade juntamente.
Canto 7, estrofe 51, verso 4;Da India a mais remota antiguidade:;Da lndia a mais remota antiguidade:
Canto 7, estrofe 51, verso 7;Que quem dellas tiuer noticia inteira,;Que quem dellas tiuer notica inteira,
Canto 7, estrofe 51, verso 8;Pela sombra conheçe a verdadeira.;Pela sombra conhece a verdadeira.
Canto 7, estrofe 52, verso 2;A terra Oriental, que o Idaspe laua,;Aterra Oriental, que o ldaspe laua,
Canto 7, estrofe 52, verso 3;Rege o hum capitam de fronte lisa,;Rege a hum capitam de fronte lisa,
Canto 7, estrofe 52, verso 6;"Nas ribeiras do rio, que manaua;";Nas ribeiras do rio, que manaua,
Canto 7, estrofe 52, verso 7;Tão proprio, que se ali estiver Semelle,;Tam proprio, que se ali estiuer Semelle,
Canto 7, estrofe 52, verso 8;Dirâ por certo, que he seu filho aquelle;Dirà por certo, que he seu filho aquelle.
Canto 7, estrofe 53, verso 2;Mui grande multidão da Assiria gente,;Muy grande multidão da Assiria gente,
Canto 7, estrofe 54, verso 7;Que ja não de Filipo, mas sem falta;Que janão de Filipo, mas sem falta
Canto 7, estrofe 55, verso 5;Aqui se escreuerão nouas historias,;Aqui se escreueram nonas historias,
Canto 7, estrofe 55, verso 7;Que os nossos sabios magos o alcançârão,;Que os nossos sabios magor o alcançàrão,
Canto 7, estrofe 55, verso 8;Quando o tempo futuro especulârão.;Quando o tempo futuro espetulàrão.
Canto 7, estrofe 56, verso 1;E diz lhe mais a magica sciencia,;E dizlhe mais a magica sciencia,
Canto 7, estrofe 56, verso 3;Não valerâ dos homẽs resistencia,;Nam valerà dos homẽs resistencia,
Canto 7, estrofe 56, verso 5;Mas tambem diz que a bellica excellencia;Mas tambem diz que a bellica excellencia.
Canto 7, estrofe 57, verso 1;Assi fallando entrauão ja na sala,;Assi fallando entrauam ja na sala,
Canto 7, estrofe 57, verso 3;Nũa camilha jaz, que nam se igoala;Nũa camilha jaz, que nam se igoala.
Canto 7, estrofe 57, verso 5;No recostado gesto se assinala;No recostado gsto se assinala
Canto 7, estrofe 58, verso 4;Que a seu costume estaua ruminando.;Que a seu costume estaua ruminando:
Canto 7, estrofe 59, verso 2;Os seus mais afastados, prompto em vista;Os seus mais afastados, prompto em vista:
Canto 7, estrofe 59, verso 4;Da gente, nunca de antes delle vista:;Da gente, nunça de antes delle vista:
Canto 7, estrofe 59, verso 8;O Capitão lhe falla deste modo.;O Capitam lhe falla deste modo.
Canto 7, estrofe 60, verso 4;Tingindo a que deixou de escura noda,;Tingindo a que deixou de ęscura noda,
Canto 7, estrofe 60, verso 7;O principado estâ, & a magestade,;O principado està, & a magestade,
Canto 7, estrofe 61, verso 1;E por longos rodeos a ti manda,;E por longos rodeos ati manda,
Canto 7, estrofe 61, verso 2;Por te fazer saber que tudo aquillo;Por te fazer, saber que tudo aquillo
Canto 7, estrofe 61, verso 4;De riquezas, de lâ do Tejo ao Nilo:;De riquezas, de la do Tejo ao Nilo.
Canto 7, estrofe 61, verso 6;Ate bem donde o Sol nam muda o estilo;Ate bem donde o Sol nam muda o estilo.
Canto 7, estrofe 61, verso 7;Nos dias, sobre a gente de Ethiopia,;Nos dias, sobre a gente de Ethiopia.
Canto 7, estrofe 61, verso 8;Tudo tem no seu Reino em grande copia.;Tudo tem no seu Reino em grande copias
Canto 7, estrofe 62, verso 5;Porque creção as rendas, & abastanças,;Porque creçam as rendas, & abastanças,
Canto 7, estrofe 62, verso 8;De ti proueito, & delle gloria ingente.;De ti proueito, & delle glorta ingente.
Canto 7, estrofe 63, verso 4;Que por guerra a teu Reino se offereça:;Que por guerra a tei Reino se offereça:
Canto 7, estrofe 64, verso 1;Tal embaxada daua o Capitão,;Tal embaixada daua o Capitam,
Canto 7, estrofe 64, verso 2;A quem o Rei gentio respondia,;A quem o Rei gentio respondia:
Canto 7, estrofe 64, verso 3;Que em ver embaxadores de nação;Que em ver embaixadores de naçam
Canto 7, estrofe 64, verso 7;Informando se certo de quem era;Informandese certo de quem era
Canto 7, estrofe 65, verso 1;E que em tanto podia do trabalho;que em tanto podia do trabalho
Canto 7, estrofe 65, verso 5;la nisto punha a noite o vsado atalho;Ia nisto punha a noite o vsado atalho
Canto 7, estrofe 66, verso 1;Agasalhados foram juntamente,;Agasalhados foram juntamente
Canto 7, estrofe 66, verso 3;Do nobre Regedor da Indica gente,;Do nobre Regedor da lndica gente
Canto 7, estrofe 67, verso 6;Se tem noticia inteira, & certa proua,;Se tem noticia inteira, & certa prona,
Canto 7, estrofe 67, verso 8;Que he gente de sua patria muy vizinha.;Que he gente de sua patria muy vizinna.
Canto 7, estrofe 68, verso 2;Informação muy larga, pois fazia;Informaçam muy larga, pois fazia
Canto 7, estrofe 68, verso 3;Nisso seruiço ao Rei, porque soubesse;Nisso seruiço ao Rei, perque soubesse
Canto 7, estrofe 68, verso 8;Onde o meu ninho, & o Sol no mar se banha.;Onde o meu ninho, e o Sol no mar se banha.
Canto 7, estrofe 69, verso 3;Da mãy, tal que por bafo estâ aprouado;Da mãy, tal que por bafo està aprouado
Canto 7, estrofe 69, verso 8;O que em nossos passados se pareçe.;O que em nosos passados se pareçe.
Canto 7, estrofe 70, verso 1;Porque elles com virtude sobre humana,;Porque elles com virtude sobrehumana,
Canto 7, estrofe 70, verso 2;Os deitarão dos campos abundosos.;Os deitaram dos campos abundosos
Canto 7, estrofe 70, verso 3;Do rico Tejo, & fresca Goadiana,;Do rio Tejo, & fresca Goadiana,
Canto 7, estrofe 70, verso 4;Com feitos memoraueis, & famosos:;Com feitos memoraueis, e famosos:
Canto 7, estrofe 70, verso 5;E não contentes inda, & na Affricana;E nam contentes inda, & na Affricana
Canto 7, estrofe 70, verso 6;Parte, cortando os mares procelosos.;Parte, cortando os mares, procelosos
Canto 7, estrofe 70, verso 7;Nos não querem deixar viuer seguros,;Nos nam querem deixar viuer seguros,
Canto 7, estrofe 70, verso 8;Tomando nos cidades, & altos muros.;Tomando nos cidades & altos muros.
Canto 7, estrofe 71, verso 1;Nam menos tem mostrado esforço, & manha,;Nam menos tem moſtrado esforço & manha,
Canto 7, estrofe 71, verso 4;Ou la dalgũs que do Pirene deção.;Ou la dalgũs que do Pirene decão.
Canto 7, estrofe 71, verso 7;Nem se sabe inda não, te afirmo & assello;Nem se sabe anda não, te afirmo & assello,
Canto 7, estrofe 72, verso 5;Vay verlhe a frota, as armas, & a maneira;Vay verlhe a frota, as armas, e a maneira:
Canto 7, estrofe 72, verso 8;Portuguesa na paz, & na milicia.;Portuguesa na paz & na milicia.
Canto 7, estrofe 73, verso 1;la com desejos o Idolatra ardia,;Ia com desejos o Idolatra ardia,
Canto 7, estrofe 73, verso 2;De veristo, que o Mouro lhe contaua,;De ver isto, que o Mouro lhe contaua,
Canto 7, estrofe 73, verso 3;Manda esquipar bateis, que yr ver queria;Manda eſquipar bateis, que yr ver queria
Canto 7, estrofe 73, verso 4;Os lenhos em que o Gama nauegaua.;Os lenhos em que ò Gama navegaua:
Canto 7, estrofe 73, verso 6;A Naira geraçam, que o mar coalhava,;A Naira geraçam, que o mar coalhaua,
Canto 7, estrofe 74, verso 3;Nellas estam pintadas as guerreiras;Nellas estám pintadas as guerreiras
Canto 7, estrofe 74, verso 6;Desafios crueis, pintura fera,;Desafios crueis pintura fera,
Canto 7, estrofe 74, verso 7;Que tanto que ao Gentio se apresenta,;Que tanto que ao gentio se apresenta,
Canto 7, estrofe 75, verso 1;Pelo que ve pergunta: mas o Gama;Pelo que ve pergunta: mas o Grama
Canto 7, estrofe 75, verso 4;A ceita Epicurea, esperimente:;Aceita Epicuria, esperimente:
Canto 7, estrofe 75, verso 6;O licor, que Noe mostrâra aa gente:;O licor, que Noe mostràra aa gente:
Canto 7, estrofe 76, verso 6;Mostraua sempre ternos singulares;Mostrana sempre ternos singulares
Canto 7, estrofe 77, verso 1;Alçase em pê, co elle os Gamas junto;Alçase em pê, co elle os Gamas junto,
Canto 7, estrofe 77, verso 2;Coelho de outra parte, & o Mauritano;Coelho de outra parte, e o Mauritano
Canto 7, estrofe 77, verso 3;Os olhos poem no bellico trafunto;Os olhos poem no bellico trasunto
Canto 7, estrofe 77, verso 7;No trajo a Grega vsança estâ perfeita,;No trajo a Grega vsança esta perfeita,
Canto 7, estrofe 78, verso 2;Eu que cometo insano, e temerario,;Eu que cometo insano, & temerario,
Canto 7, estrofe 78, verso 5;Vosso favor inuoco, que navego;Vosso fauor inuoco, que nauego
Canto 7, estrofe 79, verso 4;Nouos trabalhos vendo, & nouos danos:;Nouos trabalhos vendo, & nouos danos
Canto 7, estrofe 79, verso 7;Qual Canace que â morte se condena,;Qual Canace que à morte se condena,
Canto 7, estrofe 79, verso 8;Nũa mão sempre a espada, & noutra a pena:;Nũa mão sempre a espada, & noutra a pena
Canto 7, estrofe 80, verso 7;Que não menos milagre foi saluarse,;Que não menos milagre foi salvarse.
Canto 7, estrofe 81, verso 2;Que tamanhas miserias me cercassem:;que tamanhas miserias me cercassem:
Canto 7, estrofe 81, verso 3;Senão que aquelles que eu cantando andaua,;Senam que aquelles que eu cantando andaua
Canto 7, estrofe 81, verso 6;Das capellas de louro que me honrassem,;Das capellas de lourò que me honrassem,
Canto 7, estrofe 81, verso 7;Trabalhos nunca vsados me inuentárão,;Trabalhos nunca vsados me enuentâram,
Canto 7, estrofe 81, verso 8;Com que em tam duro estado me deitârão.;Com que em tam duro estado me deitàram.
Canto 7, estrofe 82, verso 2;O vosso Tejo cria valerosos,;O vosso, Tejo cria valerosos,
Canto 7, estrofe 82, verso 3;Que assi sabem prezas com tais fauores;Que assi sabem prezar com tais fauores
Canto 7, estrofe 82, verso 6;Pera espertar engenhos curiosos,;Pera espertar eugenbos curiosos,
Canto 7, estrofe 83, verso 1;Pois logo em tantos males he forçado;Pois logo em tantos males he forçado,
Canto 7, estrofe 83, verso 2;Que so vosso fauor me não falleça,;Que so vosso favor me nam falleça,
Canto 7, estrofe 83, verso 6;Que não no empregue em quem o não mereça;Que nam no empregue em quẽ o nam mereça
Canto 7, estrofe 83, verso 8;Sob pena de não ser agradecido.;Sob pena de nam ser agradecido.
Canto 7, estrofe 84, verso 2;A quem ao bem comum, & do seu Rei;A quem ao bem camum, & do seu Rei
Canto 7, estrofe 84, verso 8;Vsar mais largamente de seus vicios.;Vsar mais largamente de ſeus vicios.
Canto 7, estrofe 85, verso 1;Nenhum que vse de seu poder bastante;Nenhum que vse de ſeu poder bastante
Canto 7, estrofe 85, verso 2;Pera seruir a seu desejo feio,;Pera seruir a ſeu desejo feio,
Canto 7, estrofe 86, verso 1;Nem quem acha que he justo & que he dereito;Nem quem acha que he justo & que he dereita
Canto 7, estrofe 86, verso 3;E não acha que he justo & bom respeito,;E nam acha que he justo e bom respeito,
Canto 7, estrofe 86, verso 4;Que se pague o suor da seruil gente.;Que se pague o suor da servil gente.
Canto 7, estrofe 86, verso 7;Pera taxar com mão rapace & escassa,;Pera taxar com mão rapace e escassa,
Canto 7, estrofe 86, verso 8;Os trabalhos alheios, que nam passa.;Os trabalhos alheios, que nam passa
Canto 7, estrofe 87, verso 1;Aquelles sos direy que auenturârão;Aquelles sos direy que auenturâram
Canto 7, estrofe 87, verso 3;Onde perdendoa, em fama a dilatârão,;Onde perdendoa, em fama a dilatàram,
Canto 7, estrofe 87, verso 4;Tambem de suas obras merecida.;Tambem de suas obras merecida:
Canto 7, estrofe 87, verso 5;Apolo, & as Musas que me acompanharão,;Apolo, & as Musas que me acompanharam,
Canto 7, estrofe 87, verso 8;Per tornar ao trabalho mais folgado.;Por tornar ao trabalho mais folgado.
Canto 8, estrofe 1, verso 1;A primeira figura se detinha;NA primeira figura se detinha
Canto 8, estrofe 1, verso 2;NO Catual, que vira estar pinta- da.;O Catual, que vira estar pinta-da.
Canto 8, estrofe 1, verso 5;Quem era, & porque causa lhe conuinha;quem era, & porque causa lhe conuinha
Canto 8, estrofe 2, verso 4;Pela fama, nas obras, & nos feitos;Pela fama, nas obras, e nos feitos
Canto 8, estrofe 4, verso 2;O verde Tyrso foi de Baco vsado,;O verde Tyrso foy de Baco vsado,
Canto 8, estrofe 4, verso 7;Onde muros perpetuos edefica,;Onde muros perpetuos edifica,
Canto 8, estrofe 4, verso 8;E templo a Palas, que em memoria fica;E templo a Palas, que em memoria fica.
Canto 8, estrofe 5, verso 1;Vlisses he o que faz a sancta casa;Vlisses he o que faza sanċta casa
Canto 8, estrofe 5, verso 2;Aa Deusa, que lhe dâ lingoa facunda,;Aa Deosa, que lhe dà lingoa facunda,
Canto 8, estrofe 5, verso 3;Que se lâ na Asia Troia insigne abrasa,;Que se là na Asia Troia insigne abrasa,
Canto 8, estrofe 6, verso 7;Nam tem coelle não, nem ter puderão;Nam tem coelle não, nem ter puderam
Canto 8, estrofe 6, verso 8;O primor que com Pirro ja tiverão.;O primor que com Pirro ja tiueram.
Canto 8, estrofe 7, verso 3;Que o grande aperto em gente, inda q̃ honrosa;Que o grãde aperto em gente, inda q̃ honrosa
Canto 8, estrofe 7, verso 4;Aas vezes leis magnanimas quebranta:;Aas vezes leis maguanimas quebranta:
Canto 8, estrofe 7, verso 5;Outro estâ aqui que contra a patria yrosa;Outro està aqui que contra a patria yrosa
Canto 8, estrofe 8, verso 1;Vês com nosco tambem vence as bandeiras;Vès com nosco tambem vence as bandeiras
Canto 8, estrofe 8, verso 4;Gentes de nos souberam ser vencidas:;Gentes dè nos souberam ser vencidas:
Canto 8, estrofe 8, verso 6;Pera adquerir os pouos tam fingidas;Pera adquerir os pouos tam fingindas
Canto 8, estrofe 8, verso 7;A fatidica Cerua que o auisa,;A fatidica Cerua que o avisa,
Canto 8, estrofe 9, verso 6;Galegos, & Leoneses caualleiros,;Galegos, & Leoneses cavalleiros,
Canto 8, estrofe 9, verso 7;Aa casa Sancta passa o sancto Enrique;Aa casa Sancta passa o Sancto Enrique,
Canto 8, estrofe 11, verso 1;Este he o primeiro Afonso, disse o Gama,;Este he o primeiro Affonso, disse o Gama,
Canto 8, estrofe 11, verso 3;Por quem no Estigio lago jura a fama,;Por quem no Estigio jura a fama,
Canto 8, estrofe 11, verso 5;Este be aquelle zeloso a quem Deos ama,;Este he aquelle zeloso a quem Deos ama,
Canto 8, estrofe 11, verso 7;Pera quem de seu Reino abaxa os muros,;Pera quem de seu Reino abaixa os muros
Canto 8, estrofe 12, verso 1;Se Cesar, se Alexandre Rei tiverão,;Se Cesar, se Alexandre Rei tiueram,
Canto 8, estrofe 12, verso 3;Contra tantos immigos quantos erão,;Contra tantos imigos quantos eram,
Canto 8, estrofe 12, verso 5;Nam creas que seus nomes se estenderāo;Nam creas que seus nomes se estenderam
Canto 8, estrofe 13, verso 2;Pera o rompido Alumno mal sofrido,;Pera o rompido Alumno mal sufrido,
Canto 8, estrofe 14, verso 2;A corda ao colo, nu de seda & pano,;Acorda ao colo, nu de seda e pano,
Canto 8, estrofe 14, verso 5;Fez com siso & promessas leuantarse;Fez com siso & promessas levantarse
